B Normalized link matrix: 

      to\from| Athanasiadou | Blionas      | Boucouvalas  | Glentis      | Kaloxylos    | Kolokotronis | Koutras      | Lepouras     | Malamatos    | Maras        | Masselos     | Moscholios   | Peppas       | Platis       | Politi       | Sagias       | Simos        | Skiadopoulos | Stavdas      | Tryfonopoulos| Tselikas     | Tsoulos      | Vassilakis   | Vlachos      | Wallace      | Yiannopoulos | 
 Athanasiadou| 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.9411765    | 0.0          | 0.0          | 0.0          | 0.0          | 
      Blionas| 0.0          | 0.0          | 0.0          | 0.33333334   | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 1.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 
  Boucouvalas| 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.36842105   | 0.0          | 0.0          | 0.0          | 0.23809524   | 0.0          | 0.0          | 0.083333336  | 0.0          | 0.45454547   | 0.0          | 0.0          | 0.0          | 0.0          | 0.5          | 
      Glentis| 0.0          | 0.0          | 0.0          | 0.0          | 0.5          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.09090909   | 0.0          | 0.0          | 0.0          | 0.083333336  | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 
    Kaloxylos| 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.25         | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 
 Kolokotronis| 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 
      Koutras| 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 
     Lepouras| 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.33333334   | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.22222222   | 0.0          | 0.0          | 0.9111111    | 0.0          | 0.0          | 0.0          | 
    Malamatos| 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 
        Maras| 0.0          | 0.0          | 0.0          | 0.0          | 0.5          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.22222222   | 0.0          | 0.0          | 0.04761905   | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 0.0          | 
